,micro_accuracy,micro_f1,macro_f1,n_f1,i_f1,w_f1
Qwen-32B,0.9184810126582279,0.8314606741573034,0.8210975179894865,0.8702928870292888,0.8712871287128713,0.7217125382262997
Qwen-72B,0.9124050632911392,0.8377483443708609,0.825202703278777,0.8772455089820359,0.836734693877551,0.7616279069767442
MedResearcher-R1-32B,0.9012658227848102,0.7944535073409462,0.7662600282348847,0.8464730290456431,0.7486033519553074,0.7037037037037036
Medgemma-27B,0.9139240506329114,0.8374306106264869,0.8117161190318823,0.8792134831460673,0.7604166666666667,0.7955182072829132
Llama-3.3-70B,0.9053164556962026,0.7890743550834598,0.7886230462247493,0.7980456026058631,0.7937743190661479,0.7740492170022372
Silver,0.8865822784810127,0.7847411444141689,0.7706895312132586,0.8211920529801324,0.7659574468085106,0.7249190938511326
